Entidad o Division,Titulo de Investigación,ids,Periodo,Detalle de Investigación,palabras clave,Decálogo,Gobernanza y capacidades TOPP,Sectores impulsores,Brechas Atendidas,Sectores Atendidos,Preguntas Agenda Común,Tópicos CEPAL
ILPES,Innovación en el sector público: potenciando la modernización de los estados,ILPES-25/26-4,25/26,¿Cómo se define la innovación en el sector público? Conceptos y ámbitos de la innovación. ¿Cómo se diagnostican y definen brechas de innovación en el sector público? ¿Cuáles son los principales desafíos de innovación en el sector público en Latinoamérica y el Caribe? ¿Cómo se potencia la innovación en el sector público? Experiencias y buenas prácticas de innovación pública en Latinoamérica y el Caribe. El caso de Chile y la aplicación del Índice de Innovación en servicios públicos,"innovación, sector público, modernización, estados, conceptos, ámbitos, brechas, desafíos, experiencias, buenas prácticas, índice de innovación, servicios públicos","Capacidades institucionales y gobernanza La innovación pública responde al desafío de la modernización de los estados con una visión de futuro. Se enfoca en preparar a los organismos públicos para adaptarse a contextos cambiantes, de desarrollo tecnológico acelerado (inteligencia artificial), de incertidumbre (como la reciente pandemia) y desafíos de mayor nivel como el cambio climático. Se trata de aportar al desarrollo conceptual en la materia y, al mismo tiempo, transferir a los países metodologías, de manera concreta y simple, a través de cursos y asistencia técnica, para que puedan impulsar su propia actividad innovadora.","El objetivo de esta línea investigativa es, precisamente, dotar de capacidades técnicas a las instituciones públicas de los países que les permitan encontrar nuevas soluciones a problemáticas existentes y, también, preparar sus capacidades operativas para anticiparse y abordar desafíos futuros. ","Dotar de capacidades innovativas a las instituciones públicas, es funcional a todos los motores de desarrollo.",5,,,"INNOVACIÓN CIENCIA Y TECNOLOGÍA, GESTIÓN PÚBLICA, GOBIERNO DIGITAL, GOBIERNO ABIERTO, DESARROLLO SOSTENIBLE"
ILPES,Buen Gobierno,ILPES-25/26-5,25/26,"Incentivos para servidores públicos y su efecto en el desempeño laboral Mejorar las capacidades (TOPP) de las instituciones implica necesariamente mejorar las capacidades y desempeño de los servidores públicos.  Pero ¿cómo movilizar e incentivar a funcionarios públicos a buscar la excelencia y mejorar su desempeño?, ¿En qué medida los incentivos monetarios inciden en el desempeño de los servidores públicos? ¿Como incentivar la cooperación en el Estado para abordar los desafíos complejos actuales? ¿Cuáles son las tendencias en materia de desigualdades territoriales en la región? ¿Se están ampliando o reduciendo? ¿Cuáles son las formas institucionales de los países para abordar las desigualdades territoriales? ¿Qué enfoques o modelos teórico-conceptuales fundamentan las propuestas de políticas territoriales de los países? ","gobierno, incentivos, servidores públicos, desempeño laboral, capacidades institucionales, excelencia, cooperación, desafíos complejos, desigualdades territoriales, políticas territoriales","Capacidades institucionales y gobernanza La innovación pública responde al desafío de la modernización de los estados con una visión de futuro. Se enfoca en preparar a los organismos públicos para adaptarse a contextos cambiantes, de desarrollo tecnológico acelerado (inteligencia artificial), de incertidumbre (como la reciente pandemia) y desafíos de mayor nivel como el cambio climático. Se trata de aportar al desarrollo conceptual en la materia y, al mismo tiempo, transferir a los países metodologías, de manera concreta y simple, a través de cursos y asistencia técnica, para que puedan impulsar su propia actividad innovadora.","El objetivo de esta línea investigativa es, precisamente, dotar de capacidades técnicas a las instituciones públicas de los países que les permitan encontrar nuevas soluciones a problemáticas existentes y, también, preparar sus capacidades operativas para anticiparse y abordar desafíos futuros. ","Dotar de capacidades innovativas a las instituciones públicas, es funcional a todos los motores de desarrollo.",,,¿Cuáles son los factores determinantes en la evolución de estas capacidades en instituciones específicas como administraciones públicas o agencias de implementación de políticas?,"GESTIÓN PÚBLICA, CAPACITACIÓN,  POLÍTICAS PÚBLICAS, DESIGUALDAD, DESARROLLO TERRITORIAL"
ILPES,Desigualdades territoriales y políticas de desarrollo territorial ,ILPES-25/26-5,25/26,"Incentivos para servidores públicos y su efecto en el desempeño laboral Mejorar las capacidades (TOPP) de las instituciones implica necesariamente mejorar las capacidades y desempeño de los servidores públicos.  Pero ¿cómo movilizar e incentivar a funcionarios públicos a buscar la excelencia y mejorar su desempeño?, ¿En qué medida los incentivos monetarios inciden en el desempeño de los servidores públicos? ¿Como incentivar la cooperación en el Estado para abordar los desafíos complejos actuales? ¿Cuáles son las tendencias en materia de desigualdades territoriales en la región? ¿Se están ampliando o reduciendo? ¿Cuáles son las formas institucionales de los países para abordar las desigualdades territoriales? ¿Qué enfoques o modelos teórico-conceptuales fundamentan las propuestas de políticas territoriales de los países? ","desigualdades territoriales, políticas de desarrollo territorial, incentivos, desempeño laboral, capacidades institucionales, funcionarios públicos, excelencia, cooperación estatal, desafíos complejos",Brecha capacidades institucionales y gobernanza La principal brecha abordada es la desigualdad entre territorios de mayor grado de desarrollo y los de menor grado de desarrollo a nivel intermedio. Como subtemas específicos se espera estudiar las brechas urbano-rurales y la gestión de riesgo de desastres,"Esta investigación analizará 4 casos de incentivos al desempeño en la región para así comprender mejor la incidencia que puede tener este tipo de incentivos en el contexto regional. Específicamente esta investigación busca dilucidar:   1.¿Qué tipos de incentivos afectan la conducta funcionaria y mejoran la gestión pública en los países analizados de América Latina y el Caribe?   2.¿Bajo qué circunstancias y condiciones los incentivos monetarios afectan la conducta y contribuyen a mejorar el desempeño de las instituciones?   3. ¿Cómo los incentivos individuales y colectivos se vinculan e inciden en los sistemas de evaluación del desempeño funcionario y de la gestión institucional?    4¿Cuáles son los modelos de gobernanza de los casos estudiados respecto a los sistemas de incentivos a funcionarios públicos?    5. ¿Qué implicancias tiene la satisfacción del usuario en la evaluación de desempeño e incentivos para funcionarios públicos? Por medio de la investigación se esperan identificar capacidades TOPP usadas en el diseño, implementación y evaluación de las políticas nacionales de desarrollo territorial.    Como subtema específico se espera profundizar en casos de países del Caribe, como Jamaica y Trinidad y Tobago. ","Del análisis de las políticas nacionales de desarrollo territorial de Jamaica se espera identificar la presencia de sectores impulsores que estén presentes en objetivos, lineamientos y acciones públicas y privadas",,,¿Qué diseños institucionales de gobernanza multinivel contribuyen a la generación de políticas de desarrollo territoriales más efectivas? (comparación de experiencias),"DESARROLLO TERRITORIAL, GESTIÓN PÚBLICA, DESIGUALDAD, LIDERAZGOS PÚBLICOS, CAPACITACIÓN, POLÍTICAS PÚBLICAS, PLANIFICACIÓN"
CEPAL WAS,Estudio sobre las relaciones de comercio entre los Estados Unidos y América Latina y el Caribe.,CEPAL WAS-25/26-1,25/26,¿Cómo ha sido el comportamiento del comercio de bienes y servicios de los EE. UU. con la región y el mundo en los últimos años? ¿Cuál ha sido el comportamiento a nivel sectorial? ¿Cómo ha evolucionado el comercio de los Estados Unidos con la región en materia de economía circular? ¿Cómo han evolucionado las disputas laborales en el marco del Acuerdo entre Canadá-México y los Estados Unidos? ¿Cómo han seguido las tensiones comerciales entre los Estados Unidos y China?,"comercio internacional, comercio de bienes, comercio de servicios, economía circular, disputas laborales, tensiones comerciales, acuerdo comercial","Este estudio se focaliza en temas de intercambio comercial. En ese sentido, la brecha más cercana al mismo es la de Insuficiente integración económica regional. Sin embargo, también se tratan temas vinculados a la brecha de desarrollo ambientalmente no sostenible y cambio climático.","Por medio de la investigación se espera fortalecer las capacidades de las instituciones públicas de toma de decisiones basadas en el conocimiento de la dinámica reciente del comercio regional con los Estados Unidos, permitiendo tener una visión comparativa que les permita profundizar el intercambio comercial. ","Dentro de los sectores impulsores destaca el de exportación de servicios modernos o habilitados por las TIC, el de reacomodo geográfico de la producción y de las cadenas de valor a nivel mundiala economía circular.","1, 5, 8","4, 10, 15",,"COMERCIO INTERNACIONAL, COMERCIO DE BIENES Y SERVICIOS, ECONOMÍA CIRCULAR, INTEGRACIÓN REGIONAL, RELACIONES DE AMÉRICA LATINA CON ASIA Y EL PACÍFICO, POLÍTICA COMERCIAL Y ACUERDOS COMERCIALES"
CEPAL WAS,Reporte sobre los flujos de capitales hacia América Latina y el Caribe.,CEPAL WAS-25/26-2,25/26,¿Cómo ha evolucionado el acceso de los emisores de deuda de América Latina y el Caribe a los mercados internacionales? ¿Qué tan altos son los costos de endeudamiento externo medidos por los diferenciales de la deuda? ¿Han mejorado las calificaciones crediticias de los países de la región? ¿Cuáles son las principales características de los bonos emitidos y cuál es la participación de los bonos sostenibles en el total? ¿Cómo el acceso a los mercados de deuda internacionales puede contribuir a mejores perspectivas económicas para la región?,"flujos de capitales, acceso a mercados internacionales, endeudamiento externo, costos de endeudamiento, calificaciones crediticias, bonos, bonos sostenibles, mercados de deuda internacionales, perspectivas económicas","Este estudio se focaliza en temas de financiamiento al crecimiento económico y a la sostenibilidad. En ese sentido, las brechas más cercanas al mismo son la 5, el desarrollo ambientalmente no sostenible y cambio climático y la 10, espacios fiscales limitados y altos costos del financiamiento.","A través de la investigación y un análisis comparativo entre los distintos emisores de deuda y los diferentes países de la región, se busca fortalecer las capacidades de las instituciones públicas de toma de decisiones a partir de una mejor comprensión de la dinámica de los mercados financieros, del uso de instrumentos innovadores que puedan contribuir a la financiación del crecimiento sostenible, del papel del sector empresarial en la emisión de estos instrumentos y en la complementación a la financiación pública de iniciativas de desarrollo sostenible. ","Los sectores impulsores donde se observa más emisiones de deuda en los mercados internacionales incluyen el sector financiero, de transición energética, y agricultura, agronegocios, alimentos y forestal.","1, 5, 10","4, 8",¿Cómo ha evolucionado el acceso de los emisores de deuda de América Latina y el Caribe a los mercados internacionales?,"FINANCIAMIENTO Y DEUDA EXTERNA, BALANZA DE PAGOS, ARQUITECTURA FINANCIERA, CRECIMIENTO ECONÓMICO, INTEGRACIÓN REGIONAL, INDICADORES ECONÓMICOS Y PROYECCIONES"
CEPAL WAS,Reporte sobre la economía de los Estados Unidos,CEPAL WAS-25/26-3,25/26,"¿Cómo han evolucionado los indicadores macroeconómicos de Estados Unidos? ¿Cuál es el impacto de las últimas tendencias económicas de Estados Unidos en su política fiscal, monetaria y externa? ¿Cómo afectarán las últimas tendencias económicas de Estados Unidos a las condiciones financieras de América Latina Y el Caribe?","economía, indicadores macroeconómicos, política fiscal, política monetaria, política externa, condiciones financieras","El tema de este estudio es el análisis de la economía de Estados Unidos y el impacto y de los cambios de política fiscal y monetaria en las condiciones financieras y externas de la región. En ese sentido, las brechas más cercanas al mismo son la 1, el crecimiento económico bajo y volátil, y la 10, espacios fiscales limitados y altos costos del financiamiento.",Por medio de la investigación se espera fortalecer las capacidades de las instituciones públicas de toma de decisiones basadas en el conocimiento de la dinámica reciente de la economía de los Estados Unidos y su impacto en las condiciones macroeconómicas y financieras de la región.,"Dentro de los sectores impulsores destaca el de exportación de servicios modernos o habilitados por las TIC, y el de reacomodo geográfico de la producción y de las cadenas de valor a nivel mundial.","1, 10","4, 15",,"MACROECONOMÍA, INDICADORES ECONÓMICOS Y PROYECCIONES, CRECIMIENTO ECONÓMICO, POLÍTICA COMERCIAL Y ACUERDOS COMERCIALES, SECTOR FINANCIERO Y MONETARIO, COMERCIO INTERNACIONAL, BALANZA DE PAGOS"
CEPAL WAS,"Estudio sobre temas económicos, comerciales y financieros emergentes en la economía global con posibles implicancias sobre América Latina y el Caribe.",CEPAL WAS-25/26-4,25/26,Este estudio busca responder preguntas ligadas a las brechas estructurales y/o respecto al análisis de los sectores impulsores.,"economía global, comercio internacional, finanzas, brechas estructurales, sectores impulsores",,Por medio de esta investigación se espera fortalecer las capacidades de las instituciones públicas de toma de decisiones basadas en el conocimiento,,,,¿Qué oportunidades ofrece el contexto internacional actual para el fortalecimiento de la integración económica de América Latina y el Caribe?,"COMERCIO INTERNACIONAL, DESARROLLO SOSTENIBLE, FINANCIAMIENTO PARA EL DESARROLLO, BALANZA DE PAGOS, CADENAS DE VALOR, CAMBIO ESTRUCTURAL, MACROECONOMÍA"
CEPAL WAS,"La oficina planea hacer estudios que puedan responder a preguntas ligadas a las brechas estructurales y/o respecto al análisis de los sectores impulsores, particularmente en aquellas temáticas que existan potenciales líneas de contacto con la economía de los Estados Unidos y su relación con los países de la región.",CEPAL WAS-WL-1,WL,,"brechas estructurales, sectores impulsores, economía, integración económica, comercio internacional",,Por medio de estas investigaciones se espera fortalecer las capacidades de las instituciones públicas de toma de decisiones basadas en el conocimiento.,,,,¿Qué agendas se podrían trabajar a nivel regional para impulsar estos sectores? ¿Qué agendas se podrían trabajar con países fuera de la región?,"CAMBIO ESTRUCTURAL, DESARROLLO INCLUSIVO, COMERCIO INTERNACIONAL, INTEGRACIÓN REGIONAL, HETEROGENEIDAD ESTRUCTURAL,CRECIMIENTO ECONÓMICO"
CEPAL BRA,Las economías de América Latina y el Caribe en el siglo XXI,CEPAL BRA-25/26-1,25/26,¿Cuáles son los principales desafíos y oportunidades para las economías latino americanas en el siglo XXI? ¿Qué capacidades estatales deben ser construidas para abordar dichos desafíos y oportunidades?,"economía, desarrollo, desafíos, oportunidades, estado, capacidades","Podrá incluir:1) Crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal; 2) Alta desigualdad y baja movilidad y cohesión sociales; 3) Importantes brechas en la protección social;  4) Sistemas educativos y de formación profesional débiles; 5) Desarrollo ambientalmente no sostenible y cambio climático; 6) Brecha digital; 7) Flujos migratorios intra-regionales crecientes en cantidad y diversidad; 8) Insuficiente integración económica regional; 9) Alta desigualdad de género; y 10) Espacios fiscales limitados y altos costos del financiamiento",Por medio de la una capacitación (“Escuela”) se espera fortalecer las capacidades de los Estados latinoamericanos para estar a la altura de los desafíos y oportunidades del Siglo XXI.,"Podrá incluir:1) Industria farmacéutica y de ciencias de la vida; 2) Industria de dispositivos médicos; 3) Fabricación avanzada; 4) Exportación de servicios modernos o habilitados por las TIC; 5) Sociedad del cuidado; 6) Servicios intensivos en trabajo; 7) Gobierno digital; 8) Transición energética: energías renovables, hidrógeno verde, litio; 9) Electromovilidad; 10) Economía circular; 11) Bioeconomía: agricultura sostenible, recursos genéticos, bioindustrialización; 12) Agricultura para la seguridad alimentaria; 13) Gestión sostenible del agua; 14) Turismo sostenible; 15) Reacomodo geográfico de la producción y de las cadenas de valor a nivel mundial","1, 2, 3, 4, 5, 6, 7, 8, 9, 10","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",¿Qué oportunidades ofrece el contexto internacional actual para el fortalecimiento de la integración económica de América Latina y el Caribe?,"DESARROLLO SOSTENIBLE, CAMBIO ESTRUCTURAL, DESIGUALDAD, INNOVACIÓN Y DIVERSIFICACIÓN EXPORTADORA, INTEGRACIÓN REGIONAL, MACROECONOMÍA, GESTIÓN PÚBLICA"
CEPAL BRA,"La transformación ecológica de Brasil, la política industrial verde en México y la integración productiva verde en América Latina",CEPAL BRA-25/26-2,25/26,"¿En qué podría consistir la estrategia para inversiones transformantes rumbo a futuro productivo, inclusivo y sostenible en Brasil, México y, desde la perspectiva regional, en América Latina? ¿Qué políticas son necesarias para impulsar la transformación ecológica en Brasil, en México y América Latina? ¿Qué rol podrá tener la integración productiva regional en la inserción de Brasil y México, entre otros países de América Latina, en las nuevas cadenas de valor verdes?","transformación ecológica, política industrial verde, integración productiva verde, inversiones sostenibles, futuro productivo, desarrollo inclusivo, políticas ambientales, cadenas de valor verdes","Podrá incluir:1) Crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal; 2) Alta desigualdad y baja movilidad y cohesión sociales; 5) Desarrollo ambientalmente no sostenible y cambio climático; 8) Insuficiente integración económica regional; 9) Alta desigualdad de género; y 10) Espacios fiscales limitados y altos costos del financiamiento","Por medio de la investigación se espera fortalecer las capacidades del Estado brasileño y mexicano, entre otros países de América Latina, con implementar una transformación ecológica estructural.","Podrá incluir:8) Transición energética: energías renovables, hidrógeno verde, litio; 9) Electromovilidad; 10) Economía circular; 11) Bioeconomía: agricultura sostenible, recursos genéticos, bioindustrialización; 12) Agricultura para la seguridad alimentaria; 13) Gestión sostenible del agua; 14) Turismo sostenible; 15) Reacomodo geográfico de la producción y de las cadenas de valor a nivel mundial","1, 2, 5, 8, 9, 10","4, 8, 9, 10, 11, 12, 13, 14, 15",¿Qué desafíos enfrentan los países de la región para la implementación de políticas de desarrollo sostenible?,"DESARROLLO SOSTENIBLE, CAMBIO CLIMÁTICO, DESARROLLO INDUSTRIAL, ECONOMÍA CIRCULAR, INTEGRACIÓN REGIONAL, CADENAS DE VALOR, INNOVACIÓN Y DIVERSIFICACIÓN EXPORTADORA"
DCII,Análisis de las oportunidades de la electromovilidad como sector dinamizador.,DCII-25/26-1,25/26,Desde el punto de vista de la transición energética se analizará el potencial de la región de insertarse en las cadenas globales y regionales de valor de una forma sustentable y productiva.  Se analizará el potencial de los recursos naturales vinculadas a la TE y el potencial de los sectores para producir partes y productos finales de la EM.,"electromovilidad, transición energética, cadenas de valor, recursos naturales, sectores productivos, partes y productos finales",Esta temática se relaciona a las brechas de desarrollo ambientalmente no sostenible y la falta de integración económica regional.,"Este análisis identificará las necesidades de capacidades TOPP en términos de brechas tecnológicas en el sector de EM, pero también identificando las capacidades existentes en los sectores industriales con potencial de vincularse a cadenas de valor domésticas y regionales. Además, estudiará la regulación necesaria para poder importar los insumos necesarios.","Este tema se relaciona con la Transición energética: energías renovables, hidrógeno verde, litio; la Electromovilidad; y el Reacomodo geográfico de la producción y de las cadenas de valor a nivel mundial","1, 5, 8","4, 8, 9, 15","¿Qué impacto potencial podría tener el impulso de estos sectores en términos de crecimiento económico, transformación de la estructura productiva, creación de empleos y/o conservación ambiental?","ENERGÍA, CAMBIO ESTRUCTURAL, DESARROLLO SOSTENIBLE, CADENAS DE VALOR, INNOVACIÓN CIENCIA Y TECNOLOGÍA, RECURSOS NATURALES, DESARROLLO INDUSTRIAL"
DCII,En base a análisis acumulado se continuará afinando la medición y la promoción del Comercio electrónico transfronterizo y su potencial como un nuevo canal dinamizador de las exportaciones,DCII-25/26-2,25/26,,"comercio electrónico, transfronterizo, exportaciones, canal dinamizador",Esta temática se relaciona a la Brecha digital y a la Insuficiente integración económica regional,"Este análisis apuntará a las capacidades TOPP de las instituciones involucradas en términos de las necesidades de infraestructura digital, talento humano, regulación y la política de promoción.",Esta temática tiene relación con la Exportación de servicios modernos o habilitados por las TIC,"6, 8",4,"¿Cómo puede contribuir el desarrollo y uso de infraestructura digital a la facilitación del comercio intrarregional (por ejemplo, comercio sin papel)?","COMERCIO INTERNACIONAL, COMERCIO DE BIENES Y SERVICIOS, FACILITACIÓN DEL COMERCIO, INNOVACIÓN Y DIVERSIFICACIÓN EXPORTADORA, ESTADÍSTICAS ECONÓMICAS, TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES (TIC)"
DCII,Infraestructura resiliente y digital:,DCII-25/26-3,25/26,¿Cuál es el grado de preparación de los países para el comercio sin papeles?,"infraestructura digital, comercio electrónico, preparación comercial, tecnología de la información",8) Insuficiente integración económica regional;,"Mejorar los TOPP de los Ministerios de Comercio, aduanas y otras instituciones involucradas en las en las ventanillas de comercio exterior (VUCE)",El sector dinamizador sería el sector exportador de bienes,8,,"¿Cómo puede contribuir el desarrollo y uso de infraestructura digital a la facilitación del comercio intrarregional (por ejemplo, comercio sin papel)?","INFRAESTRUCTURA, COMERCIO INTERNACIONAL, FACILITACIÓN DEL COMERCIO, TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES (TIC), GOBIERNO DIGITAL, INNOVACIÓN CIENCIA Y TECNOLOGÍA, LOGÍSTICA Y MOVILIDAD"
DCII,"Análisis de las medidas no arancelarias vinculadas a Reglamentos Técnicos y otras medidas no arancelarias, así como también barreras no arancelarias debidas a tramitología y otras fuentes de distorsión del comercio exterior.",DCII-25/26-4,25/26,,"medidas no arancelarias, reglamentos técnicos, barreras comerciales, comercio exterior, tramitología, distorsión comercial",La temática se relaciona con la Insuficiente integración económica regional,"Análisis buscará favorecer cambios adecuados en la gobernanza vinculada a la facilitación del comercio y logística. Instituciones vinculadas: Aduanas, Ministerios de Comercio, Oficinas de Promocióin Comercial. ","Algunos de los sectores impulsores son: Transición energética, Exportaciones de servicios modernos, Reacomodo geográfico de la producción y de las cadenas de valor mundial.",8,"4, 8, 15",,"COMERCIO INTERNACIONAL, COMERCIO DE BIENES Y SERVICIOS, FACILITACIÓN DEL COMERCIO, POLÍTICA COMERCIAL Y ACUERDOS COMERCIALES, AYUDA PARA EL COMERCIO, INTEGRACIÓN REGIONAL, REGULACIÓN"
DCII,Preparar la región para las nuevas regulaciones de mercados de importación en torno al desarrollo sostenible. ,DCII-25/26-5,25/26,"En línea con el Reglamento sobre Deforestación, la UE (y otros mercados) están implementando y preparando varias otras regulaciones (como CBAM, economía circular, ecodiseño,  pasaporte digital de productos),  ¿están preparados los productores de la región para cumplir con estos estándares? ","desarrollo sostenible, mercados de importación, regulaciones ambientales, deforestación, economía circular, ecodiseño, pasaporte digital de productos", 5) Desarrollo ambientalmente no sostenible y cambio climático;,Mejorar los TOPP de los Ministerios de Comercio y Medio Ambiente y los organismos de promoción comercial para ayudar los productores prepararse a nuevas legislaciones ,El sector dinamizador sería la agricultura sostenible y la Economía circular;,"1, 5","10, 11",¿Qué desafíos enfrentan los países de la región para la implementación de políticas de desarrollo sostenible?,"DESARROLLO SOSTENIBLE, COMERCIO INTERNACIONAL, ECONOMÍA CIRCULAR, CAMBIO CLIMÁTICO, BIODIVERSIDAD, INNOVACIÓN Y DIVERSIFICACIÓN EXPORTADORA, REGULACIÓN"
DCII,"Para alcanzar una infraestructura de transporte resiliente y sostenible, se avanzará en la promoción de la multimodalidad",DCII-25/26-6,25/26,,"infraestructura de transporte, multimodalidad, sostenibilidad, resiliencia","Existe una gran brecha de financiamiento para avanzar en la transición de infraestructuras resilientes y de energías más limpias y eficientes. Asimismo, se abordará el impacto del cambio climático sobre las infraestructuras de transporte.",Este análisis requiere capacidades TOPP de las instituciones involucradas en términos de las necesidades de infraestructura de transporte. Esto requerirá una alianza del sector público con el sector privado para financiar los proyectos de infraestructura resiliente y sostenible.,"Los sectores dinamizadores serían: a) financiero; b) energético (transición energética: energías renovables, hidrógeno verde, entre otros.",5,"4, 8",,"INFRAESTRUCTURA, TRANSPORTE MARÍTIMO Y PUERTOS, DESARROLLO SOSTENIBLE, LOGÍSTICA Y MOVILIDAD, CAMBIO CLIMÁTICO"
DCII,"Definición de indicadores adecuados para la para la toma de decisiones de política comercial e industrial, a partir del análisis de la estructura económica de los países de ALC, principalmente matrices de insumo producto, información de empleo sectorial por género y calificación, así como información de variables medioambientales como emisiones de CO2 y gases de efecto invernadero",DCII-WL-1,WL,,"indicadores económicos, política comercial, estructura económica, matrices de insumo producto, empleo sectorial, género, calificación, medio ambiente, emisiones de co2, gases de efecto invernadero","Crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal. (1) Insuficiente integración económica y comercial. (8)","Fortalecer la prospectiva en instituciones nacionales como: Ministerios de Comercio, Economía e Industria, entre otros, además de Institutos de Estadística y Bancos Centrales.","Agricultura sostenible, servicios modernos, electromovilidad y economía circular, entre otros.","1, 8","9, 10, 11",¿Qué criterios se utilizan para definir un sector como impulsor? ¿Cómo se identifican y seleccionan los sectores que se incluyen en la categoría de sectores impulsores? ¿Cómo se actualizan y revisan las definiciones y selecciones de sectores impulsores a medida que evolucionan las prioridades de desarrollo sostenible?,"ESTADÍSTICAS ECONÓMICAS, CAMBIO ESTRUCTURAL, EMPLEO, ESTADÍSTICAS DE GÉNERO, ESTADÍSTICAS AMBIENTALES, POLÍTICA COMERCIAL Y ACUERDOS COMERCIALES"
DCII,"Evaluaciones de Impacto de cambios de políticas públicas con base en matrices insumo producto, e información de nuevas variables regionales de costos no arancelarios, emisiones de gases contaminantes, reducción de huella ambiental.",DCII-WL-2,WL,,"política pública, matrices insumo producto, costos no arancelarios, emisiones gases contaminantes, huella ambiental, evaluación de impacto, reducción contaminación","Crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal. (1) Insuficiente integración económica y comercial. (8)","Fortalecer la prospectiva en instituciones nacionales como: Ministerios de Comercio, Economía e Industria, entre otros, además de Institutos de Estadística y Bancos Centrales.","Agricultura sostenible, servicios modernos, electromovilidad y economía circular: reacomodo de la producción y cadenas de valor regional y global.","1, 8","9, 10, 11, 15",¿Cómo se mide el impacto de las capacidades desarrolladas en la efectividad y eficiencia de las políticas implementadas en el sector/área X?,"EVALUACIÓN DE POLÍTICAS Y PROGRAMAS, CAMBIO CLIMÁTICO, COMERCIO INTERNACIONAL, DESARROLLO SOSTENIBLE, ESTADÍSTICAS ECONÓMICAS, INDICADORES ECONÓMICOS Y PROYECCIONES, MEDIO AMBIENTE"
DDPE,Digitalización del sector agropecuario para el desarrollo productivo y económico sostenible,DDPE-25/26-1,25/26,Las preguntas clave son: ­   ¿Cómo puede la digitalización del sector agropecuario contribuir al desarrollo productivo y económico sostenible en ALC? ­   ¿Cuáles son las tecnologías digitales más adecuadas para el aumento de la productividad y la sostenibilidad en la agricultura? ­   ¿Cómo puede contribuir la digitalización del sector agropecuario a la acción climática? ­   ¿Qué instrumentos de políticas existen para aprovechar las oportunidades y superar las barreras en el proceso de digitalización de la agricultura para el crecimiento sostenible?,"agricultura, desarrollo sostenible, digitalización, economía, productividad, tecnologías digitales, cambio climático, políticas públicas","La principal brecha abordada es la brecha digital.  Dado el énfasis de la línea de trabajo en las zonas rurales y en la agricultura, también se abordan otras brechas, como la de crecimiento económico bajo, volátil y excluyente, la de alta desigualdad, la del desarrollo ambientalmente no sostenible y cambio climático y la de insuficiente integración económica regional.","Se espera que esta línea de investigación aporte conocimiento actualizado y basado en evidencia a las instituciones públicas sobre nuevos instrumentos de política para mejorar la digitalización del sector agropecuario, con énfasis en el crecimiento económico sostenible y la acción climática.",Los sectores impulsores abordados en esta línea de investigación son principalmente el de Bioeconomía y el de agricultura para la seguridad alimentaria.,"1, 2, 5, 6, 8","11, 12",¿Cómo puede la digitalización del sector agropecuario contribuir al desarrollo productivo y económico sostenible en América Latina y el Caribe?,"AGRICULTURA Y DESARROLLO RURAL, CAMBIO CLIMÁTICO, DESARROLLO SOSTENIBLE, INNOVACIÓN CIENCIA Y TECNOLOGÍA, PRODUCTIVIDAD, POLÍTICAS PÚBLICAS, TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES (TIC)"
DDPE,Economía social y solidaria,DDPE-25/26-2,25/26,"La investigación aborda un mapeo de las organizaciones de la ESS en el sector agrícola, agro-rural o agroalimentario de América Latina y el Caribe. Se busca a responder a las siguientes preguntas: ­  ¿Qué tipo de organizaciones de la ESS están involucradas? ­  ¿En qué sectores específicos de actividad económica realizan su aportación?","economía social, solidaridad, organizaciones sociales, sector agrícola, agro-rural, agroalimentario","La principal brecha abordada es la de crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal. Se abordan los siguientes subtemas:  políticas de desarrollo productivo, economía social y solidaria, asociatividad.","Se espera que la investigación aporte a las capacidades técnicas relacionadas con: la creación y gestión de sistemas integrales de información para apoyar la gestión e implementación de las políticas, en particular en lo referente a la ESS en el sector agro.","Los sectores impulsores abordados en esta línea de investigación son: Bioeconomía agricultura sostenible, recursos genéticos, bioindustrialización; agricultura para la seguridad alimentaria; gestión sostenible del agua; turismo sostenible. Se abordan los siguientes subtemas: Producción agropecuaria, pesca, turismo rural, servicios básicos rurales, industria alimentaria.",1,"4, 11, 12, 13, 14",,"AGRICULTURA Y DESARROLLO RURAL, ECONOMÍA CIRCULAR, DESARROLLO SOSTENIBLE, DESARROLLO TERRITORIAL, CADENAS DE VALOR, SEGURIDAD ALIMENTARIA Y NUTRICIONAL"
